Team,GoalsScored,GoalsConceded
Algeria,1.0,1.4615384615384615
Angola,0.3333333333333333,0.6666666666666666
Argentina,1.691358024691358,1.1481481481481481
Australia,0.8125,1.9375
Austria,1.4827586206896552,1.6206896551724137
Belgium,1.4166666666666667,1.5
Bolivia,0.16666666666666666,3.3333333333333335
Bosnia and Herzegovina,1.3333333333333333,1.3333333333333333
Brazil,2.1009174311926606,0.963302752293578
Bulgaria,0.8461538461538461,2.0384615384615383
Cameroon,0.782608695652174,1.8695652173913044
Canada,0.0,1.6666666666666667
Chile,1.2121212121212122,1.4848484848484849
China,0.0,3.0
Colombia,1.4545454545454546,1.3636363636363635
Costa Rica,1.0555555555555556,1.5555555555555556
Croatia,1.5217391304347827,1.1304347826086956
Cuba,1.6666666666666667,4.0
Czech Republic,1.0,1.3333333333333333
Czechoslovakia,1.4666666666666666,1.5
Denmark,1.5,1.3
Dutch East Indies,0.0,6.0
East Germany,0.8333333333333334,0.8333333333333334
Ecuador,1.0,1.1
Egypt,0.7142857142857143,1.7142857142857142
El Salvador,0.16666666666666666,3.6666666666666665
England,1.318840579710145,0.927536231884058
FR Yugoslavia,1.25,1.0
France,1.8181818181818181,1.1666666666666667
Germany,2.021276595744681,1.0212765957446808
Ghana,1.0833333333333333,1.3333333333333333
Greece,0.5,2.0
Haiti,0.6666666666666666,4.666666666666667
Honduras,0.3333333333333333,1.5555555555555556
Hungary,2.71875,1.78125
Iceland,0.6666666666666666,1.6666666666666667
Iran,0.6,1.6
Iraq,0.3333333333333333,1.3333333333333333
Israel,0.3333333333333333,1.0
Italy,1.5421686746987953,0.927710843373494
Ivory Coast,1.4444444444444444,1.5555555555555556
Jamaica,1.0,3.0
Japan,0.9523809523809523,1.380952380952381
Kuwait,0.6666666666666666,2.0
Mexico,1.0526315789473684,1.719298245614035
Morocco,0.875,1.375
Netherlands,1.72,0.96
New Zealand,0.6666666666666666,2.3333333333333335
Nigeria,1.0952380952380953,1.4285714285714286
North Korea,0.8571428571428571,3.0
Northern Ireland,1.0,1.7692307692307692
Norway,0.875,1.0
Panama,0.6666666666666666,3.6666666666666665
Paraguay,1.1111111111111112,1.4074074074074074
Peru,1.1666666666666667,1.8333333333333333
Poland,1.3529411764705883,1.3235294117647058
Portugal,1.6333333333333333,1.1666666666666667
Republic of Ireland,0.7692307692307693,0.7692307692307693
Romania,1.4285714285714286,1.5238095238095237
Russia,1.7142857142857142,1.4285714285714286
Saudi Arabia,0.6875,2.4375
Scotland,1.0869565217391304,1.7826086956521738
Senegal,1.375,1.25
Serbia,0.6666666666666666,1.1666666666666667
Serbia and Montenegro,0.6666666666666666,3.3333333333333335
Slovakia,1.25,1.75
Slovenia,0.8333333333333334,1.6666666666666667
South Africa,1.2222222222222223,1.7777777777777777
South Korea,1.0,2.0588235294117645
Soviet Union,1.7096774193548387,1.096774193548387
Spain,1.5714285714285714,1.1428571428571428
Sweden,1.5686274509803921,1.4313725490196079
Switzerland,1.3513513513513513,1.7297297297297298
Togo,0.3333333333333333,2.0
Trinidad and Tobago,0.0,1.3333333333333333
Tunisia,0.8666666666666667,1.6666666666666667
Turkey,2.0,1.7
Ukraine,1.0,1.4
United Arab Emirates,0.6666666666666666,3.6666666666666665
United States,1.121212121212121,1.878787878787879
Uruguay,1.5535714285714286,1.3214285714285714
Wales,0.8,0.8
West Germany,2.1129032258064515,1.2419354838709677
Yugoslavia,1.6666666666666667,1.2727272727272727
Zaire,0.0,4.666666666666667
