,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
0,Germany,Romania,2000,1,1,2
1,Portugal,England,2000,3,2,5
2,Romania,Portugal,2000,0,1,1
3,England,Germany,2000,1,0,1
4,England,Romania,2000,2,3,5
5,Portugal,Germany,2000,3,0,3
6,Belgium,Sweden,2000,2,1,3
7,Turkey,Italy,2000,1,2,3
8,Italy,Belgium,2000,2,0,2
9,Sweden,Turkey,2000,0,0,0
10,Turkey,Belgium,2000,2,0,2
11,Italy,Sweden,2000,2,1,3
12,Spain,Norway,2000,0,1,1
13,FR,vs,2000,3,3,6
14,Slovenia,Spain,2000,1,2,3
15,Norway,FR,2000,0,1,1
16,FR,vs,2000,3,4,7
17,Slovenia,Norway,2000,0,0,0
18,France,Denmark,2000,3,0,3
19,Netherlands,Czech,2000,1,0,1
20,Czech,vs,2000,1,2,3
21,Denmark,Netherlands,2000,0,3,3
22,Denmark,Czech,2000,0,2,2
23,France,Netherlands,2000,2,3,5
24,Turkey,Portugal,2000,0,2,2
25,Italy,Romania,2000,2,0,2
26,Netherlands,FR,2000,6,1,7
27,Spain,France,2000,1,2,3
28,France,Portugal,2000,2,1,3
29,Italy,Netherlands,2000,0,0,0
30,Final,finalaway,2000,2,1,3
31,Germany,Romania,2004,1,1,2
32,Portugal,England,2004,3,2,5
33,Romania,Portugal,2004,0,1,1
34,England,Germany,2004,1,0,1
35,England,Romania,2004,2,3,5
36,Portugal,Germany,2004,3,0,3
37,Belgium,Sweden,2004,2,1,3
38,Turkey,Italy,2004,1,2,3
39,Italy,Belgium,2004,2,0,2
40,Sweden,Turkey,2004,0,0,0
41,Turkey,Belgium,2004,2,0,2
42,Italy,Sweden,2004,2,1,3
43,Spain,Norway,2004,0,1,1
44,FR,vs,2004,3,3,6
45,Slovenia,Spain,2004,1,2,3
46,Norway,FR,2004,0,1,1
47,FR,vs,2004,3,4,7
48,Slovenia,Norway,2004,0,0,0
49,France,Denmark,2004,3,0,3
50,Netherlands,Czech,2004,1,0,1
51,Czech,vs,2004,1,2,3
52,Denmark,Netherlands,2004,0,3,3
53,Denmark,Czech,2004,0,2,2
54,France,Netherlands,2004,2,3,5
55,Turkey,Portugal,2004,0,2,2
56,Italy,Romania,2004,2,0,2
57,Netherlands,FR,2004,6,1,7
58,Spain,France,2004,1,2,3
59,France,Portugal,2004,2,1,3
60,Italy,Netherlands,2004,0,0,0
61,Final,finalaway,2004,2,1,3
62,Portugal,Greece,2004,1,2,3
63,Spain,Russia,2004,1,0,1
64,Greece,Spain,2004,1,1,2
65,Russia,Portugal,2004,0,2,2
66,Spain,Portugal,2004,0,1,1
67,Russia,Greece,2004,2,1,3
68,Switzerland,Croatia,2004,0,0,0
69,France,England,2004,2,1,3
70,England,Switzerland,2004,3,0,3
71,Croatia,France,2004,2,2,4
72,Croatia,England,2004,2,4,6
73,Switzerland,France,2004,1,3,4
74,Denmark,Italy,2004,0,0,0
75,Sweden,Bulgaria,2004,5,0,5
76,Bulgaria,Denmark,2004,0,2,2
77,Italy,Sweden,2004,1,1,2
78,Italy,Bulgaria,2004,2,1,3
79,Denmark,Sweden,2004,2,2,4
80,Czech,vs,2004,2,1,3
81,Germany,Netherlands,2004,1,1,2
82,Latvia,Germany,2004,0,0,0
83,Netherlands,Czech,2004,2,3,5
84,Netherlands,Latvia,2004,3,0,3
85,Germany,Czech,2004,1,2,3
86,Portugal,England,2004,2,2,4
87,France,Greece,2004,0,1,1
88,Sweden,Netherlands,2004,0,0,0
89,Czech,vs,2004,3,0,3
90,Portugal,Netherlands,2004,2,1,3
91,Greece,Czech,2004,1,0,1
92,Final,finalaway,2004,0,1,1
93,Germany,Romania,2008,1,1,2
94,Portugal,England,2008,3,2,5
95,Romania,Portugal,2008,0,1,1
96,England,Germany,2008,1,0,1
97,England,Romania,2008,2,3,5
98,Portugal,Germany,2008,3,0,3
99,Belgium,Sweden,2008,2,1,3
100,Turkey,Italy,2008,1,2,3
101,Italy,Belgium,2008,2,0,2
102,Sweden,Turkey,2008,0,0,0
103,Turkey,Belgium,2008,2,0,2
104,Italy,Sweden,2008,2,1,3
105,Spain,Norway,2008,0,1,1
106,FR,vs,2008,3,3,6
107,Slovenia,Spain,2008,1,2,3
108,Norway,FR,2008,0,1,1
109,FR,vs,2008,3,4,7
110,Slovenia,Norway,2008,0,0,0
111,France,Denmark,2008,3,0,3
112,Netherlands,Czech,2008,1,0,1
113,Czech,vs,2008,1,2,3
114,Denmark,Netherlands,2008,0,3,3
115,Denmark,Czech,2008,0,2,2
116,France,Netherlands,2008,2,3,5
117,Turkey,Portugal,2008,0,2,2
118,Italy,Romania,2008,2,0,2
119,Netherlands,FR,2008,6,1,7
120,Spain,France,2008,1,2,3
121,France,Portugal,2008,2,1,3
122,Italy,Netherlands,2008,0,0,0
123,Final,finalaway,2008,2,1,3
124,Portugal,Greece,2008,1,2,3
125,Spain,Russia,2008,1,0,1
126,Greece,Spain,2008,1,1,2
127,Russia,Portugal,2008,0,2,2
128,Spain,Portugal,2008,0,1,1
129,Russia,Greece,2008,2,1,3
130,Switzerland,Croatia,2008,0,0,0
131,France,England,2008,2,1,3
132,England,Switzerland,2008,3,0,3
133,Croatia,France,2008,2,2,4
134,Croatia,England,2008,2,4,6
135,Switzerland,France,2008,1,3,4
136,Denmark,Italy,2008,0,0,0
137,Sweden,Bulgaria,2008,5,0,5
138,Bulgaria,Denmark,2008,0,2,2
139,Italy,Sweden,2008,1,1,2
140,Italy,Bulgaria,2008,2,1,3
141,Denmark,Sweden,2008,2,2,4
142,Czech,vs,2008,2,1,3
143,Germany,Netherlands,2008,1,1,2
144,Latvia,Germany,2008,0,0,0
145,Netherlands,Czech,2008,2,3,5
146,Netherlands,Latvia,2008,3,0,3
147,Germany,Czech,2008,1,2,3
148,Portugal,England,2008,2,2,4
149,France,Greece,2008,0,1,1
150,Sweden,Netherlands,2008,0,0,0
151,Czech,vs,2008,3,0,3
152,Portugal,Netherlands,2008,2,1,3
153,Greece,Czech,2008,1,0,1
154,Final,finalaway,2008,0,1,1
155,Switzerland,Czech,2008,0,1,1
156,Portugal,Turkey,2008,2,0,2
